artist,album,uri
MOF,88,spotify:album:3ZX7eeyUfSW64hPu27QmPX
Los Chavalos De La Perla,Soy Quien Soy,spotify:album:39hGIR0acQKDthB4sW9YLn
Cartel De Santa,Sincopa,spotify:album:5bZ7Jgk7YE35ULHWO3wgHP
Nunca Muere,Lost Never,spotify:album:2dNvHbnHvCE4ro4cvNOmls
West Gold,West Gold,spotify:album:4cM23aZSWB8PP6LtYRNXrs
Denilson,Roto,spotify:album:1abUZqAoOCIQTyCZe1V200
Iluminatik,Metanfetarima,spotify:album:2zHUtazrb4vsNJ301wbezF
Robot95,Too Much Flow,spotify:album:1lp5sffsnaXjF5W5BxMKrK
Gera MX,Nunca Sabrás Cuanto,spotify:album:1cC3Y41N4BMgCUnBvNW36H
Aleman,Humo en la Trampa 2,spotify:album:48081X2ns6kHKFS84IowXl
Akapellah,Goldo Funky,spotify:album:28TBy3fqYNUSp4CTzQSJJQ
Nanpa Básico,No Se Sobrepase,spotify:album:1u9AhrCsNV1rpokYfUr7zC
Run The Jewels,RTJ4,spotify:album:6cx4GVNs03Pu4ZczRnWiLd
Kendrick Lamar,DAMN.,spotify:album:4eLPsYPBmXABThSJ821sqY
Charles Ans,Smile,spotify:album:20FVdE2JlNZwcPFlDqrYgC
Ente,Leviatán,spotify:album:175YnFHXQWRU9E0tWWe244
La Plebada,La Galliza,spotify:album:3pFKnRPU8Gyhh0FBnzx0Kf
ROSALÍA,"Yo x Ti, Tu x Mi",spotify:album:3844bY26oeSkqd06th4EYp
Phyzh Eye,Buscando la Manera,spotify:album:2dicEPGKayPp0299DKfNH3
La Banda Baston,Etcé7era,spotify:album:4Utf7ULgj1YcwSbLY70Gmm
José José,Lo Más Romántico de,spotify:album:6vQvMqvEOljgda979HJ7d0
Don Omar,Flow HP,spotify:album:36ZKw8lFS9awLSyvnGkc5S
Maxo Kream,Brandon Banks,spotify:album:2E5FdSQ0pyo7LHW7XxMYUi
Tainy,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),spotify:album:4589OIFRZp41qbsp7TWFCx
Rich Vagos,Mixtape Rich Vagos,spotify:album:6Md2vrD9ioekgr6GmzF5ce
Yoga Fire,Lázaro,spotify:album:0rjPPdq5gvdNwn27p0srqk
Geassassin,El Nuevo Leon,spotify:album:6ojKRp2hScVGFrK2PiHXO6
Mac Miller,Circles,spotify:album:5sY6UIQ32GqwMLAfSNEaXb
Ñengo El Quetzal,Éxitos Vol. 1,spotify:album:12YfignB9TJCEP6oNu6fNE
Santa Fe Klan,"El Inicio, Vol. 1",spotify:album:0lJoJEExVV3vEbmjC7DJrP
Becky G,Sin Pijama,spotify:album:6LQGBxCPTWM1dkF7lle6c7
Eptos Uno,Pa' Mis Doggs,spotify:album:1PT4JMw234fxvAf9ghjPCe
Yoga Fire,Wavy Super Latin,spotify:album:4m8ocjUD5V0ayytIbaa6xY
Gera MX,El Vicio y la Fama,spotify:album:20q5j9oFR1Ax38kogUuGiq
iLe,Almadura,spotify:album:5ggXegN9GWgNOSS83gZHGT
Charles Ans,El Desierto También Da Flores,spotify:album:55XbM0qXwHVfWp4fHV91mk
Eddie Zuko,Caile (feat. Terrace Martin),spotify:album:0WqzwWqHURHFNx69DdtrHD
Faruz Feet,Mil Vueltas,spotify:album:0XR4d91t9xefN09WlO75c1
MexFutura,La Última Selva,spotify:album:7pdehHLS9Gmt2NFFu0dhOO
Tabernario,El Regreso del G-Funk Vol. 1,spotify:album:4zdBNJ7kWO3ZxSRaDfWl7s
Kase.O,El Círculo (Versión Exclusiva de Spotify),spotify:album:5HTtQMQxpNk64Uj1zXjufs
IDK,IWASVERYBAD,spotify:album:3erbP57msVasRajCqir1B5
Eddie Zuko,Yallegó,spotify:album:3orUOWHQTgWUvrc1c8yXPH
La Plebada,De Lo Más Solicitado,spotify:album:6GPiGDV1SQaZJPuUSXmeKF
Danger,Lodo en la Alfombra,spotify:album:4u4NDEFYlFCFapQWlXTfLQ
La Banda Baston,ETCÉ7ERA,spotify:album:3brzmaUwnNKFIB6pDzKcjC
Bipo Montana,Robot Montana,spotify:album:0rEzNORhsOrbHxxZxUe67P
Remik Gonzalez,Con la Mesa Vacia,spotify:album:3pbx8Eadd59V3g4vvywpfV
Santa Fe Klan,Soledad,spotify:album:1vJZfykeuEwQKqEiZlaXGe
Gera MX,"No Veo, No Siento",spotify:album:3LPuE7Tu7BAnK0NksH78D2
Neto Peña,Crónicas De Un Corazón Roto,spotify:album:5rTJ6pTQUCyIxxWKlWhvaz
Lil Supa,HECATOMBE (Fresco & Dark),spotify:album:0yuUTBp2MBJu7Y782HjfPi
Marwan,Nirvana in Gaza,spotify:album:21GUygV8B9lQPtJiM0FP8k
La Banda Baston,Hago Ruido,spotify:album:2YRshOe2JVXGDqHhrQDx4m
Charles Ans,Los Raros del Salón,spotify:album:6Mz5JEputRbBiWYa1wmpA7
Ovi,Las Leyendas Nunca Mueren (feat. Ñengo Flow),spotify:album:1x0fe3DjJoQKXQ9iGxU6wa
La Plebada,Desde Cuándo,spotify:album:3iK2XLBkO4lSF3IkHPPETj
Anexo Leiruk,Un Tipo Común,spotify:album:1ssFUF7jwfDFICB8sYTJUk
Rich Vagos,Independiente,spotify:album:4XRAsQ2FrIhcUiOGyko5DB
C-Kan,Quiúboles Que!,spotify:album:7fEd90zyiFjIr9UElw41iK
TREN LOKOTE,Locofonías,spotify:album:2cWEZoGiwW4gvLMn00rdTU
